级别,词语,词性,HSK词语级别,官方教材UNIT,级别相关场景
1,你们,PRON,1,HSK1 UNIT1,打招呼
1,你好,PHR,1,HSK1 UNIT1,打招呼
1,您好,PHR,1,HSK1 UNIT1,打招呼
1,对不起,PHR,1,HSK1 UNIT1,打招呼
1,没关系,PHR,1,HSK1 UNIT1,打招呼
2,一,NUM,1,HSK1 UNIT1,打招呼
2,二,NUM,1,HSK1 UNIT1,打招呼
2,三,NUM,1,HSK1 UNIT1,打招呼
2,四,NUM,1,HSK1 UNIT1,打招呼
2,五,NUM,1,HSK1 UNIT1,打招呼
2,六,NUM,1,HSK1 UNIT1,打招呼
2,七,NUM,1,HSK1 UNIT1,打招呼
2,八,NUM,1,HSK1 UNIT1,打招呼
2,九,NUM,1,HSK1 UNIT1,打招呼
2,十,NUM,1,HSK1 UNIT1,打招呼
3,谢谢,PHR,1,HSK1 UNIT2,感谢礼貌用语
3,不客气,PHR,1,HSK1 UNIT2,感谢礼貌用语
3,再见,PHR,1,HSK1 UNIT2,感谢礼貌用语
4,山,N,1,HSK1 UNIT2,感谢礼貌用语
4,小,ADJ,1,HSK1 UNIT2,感谢礼貌用语
4,口,N,1,HSK1 UNIT2,感谢礼貌用语
5,叫,V,1,HSK1 UNIT3,询问名字
5,什么,PRON,1,HSK1 UNIT3,询问名字
5,名字,N,1,HSK1 UNIT3,询问名字
6,我,PRON,1,HSK1 UNIT3,询问名字
6,是,V,1,HSK1 UNIT3,询问名字
6,老师,N,1,HSK1 UNIT3,询问名字
6,吗,AUX,1,HSK1 UNIT3,询问名字
6,学生,N,1,HSK1 UNIT3,询问名字
6,人,N,1,HSK1 UNIT3,询问名字
7,中国,N,1,HSK1 UNIT3,询问名字
7,美,ADJ,1,HSK1 UNIT3,询问名字
7,心情,N,1,HSK1 UNIT3,询问名字
8,她,PRON,1,HSK1 UNIT4,身份国籍介绍
8,谁,PRON,1,HSK1 UNIT4,身份国籍介绍
8,的,AUX,1,HSK1 UNIT4,身份国籍介绍
8,汉语,N,1,HSK1 UNIT4,身份国籍介绍
9,哪,PRON,1,HSK1 UNIT4,身份国籍介绍
9,国,N,1,HSK1 UNIT4,身份国籍介绍
9,呢,AUX,1,HSK1 UNIT4,身份国籍介绍
9,他们,PRON,1,HSK1 UNIT4,身份国籍介绍
9,同学,N,1,HSK1 UNIT4,身份国籍介绍
10,朋友,N,1,HSK1 UNIT4,身份国籍介绍
10,几,PRON,1,HSK1 UNIT4,身份国籍介绍
10,儿子,N,1,HSK1 UNIT4,身份国籍介绍
11,家人,N,1,HSK1 UNIT5,家庭人数及年龄
11,女儿,N,1,HSK1 UNIT5,家庭人数及年龄
11,几个,PRON,1,HSK1 UNIT5,家庭人数及年龄
11,几岁,PHR,1,HSK1 UNIT5,家庭人数及年龄
11,好了,AUX,1,HSK1 UNIT5,家庭人数及年龄
11,口,QTY,1,HSK1 UNIT5,家庭人数及年龄
11,没有,V,1,HSK1 UNIT5,家庭人数及年龄
12,多大,ADV,1,HSK1 UNIT5,家庭人数及年龄
12,山水,N,1,HSK1 UNIT5,家庭人数及年龄
12,女人,N,1,HSK1 UNIT5,家庭人数及年龄
12,大家,ADJ,1,HSK1 UNIT5,家庭人数及年龄
12,好了,N,1,HSK1 UNIT5,家庭人数及年龄
12,今年,N,1,HSK1 UNIT5,家庭人数及年龄
12,明年,N,1,HSK1 UNIT5,家庭人数及年龄
13,不会,PHR,1,HSK1 UNIT6,汉语及中国菜
13,会说,V,1,HSK1 UNIT6,汉语及中国菜
13,妈妈,N,1,HSK1 UNIT6,汉语及中国菜
13,做菜,N,1,HSK1 UNIT6,汉语及中国菜
13,很好,ADV,1,HSK1 UNIT6,汉语及中国菜
13,做饭,V,1,HSK1 UNIT6,汉语及中国菜
13,吃饭,V,1,HSK1 UNIT6,汉语及中国菜
14,写字,V,1,HSK1 UNIT6,汉语及中国菜
14,汉字,N,1,HSK1 UNIT6,汉语及中国菜
14,怎么,PRON,1,HSK1 UNIT6,汉语及中国菜
14,东西,N,1,HSK1 UNIT6,汉语及中国菜
14,读书,V,1,HSK1 UNIT6,汉语及中国菜
15,请问,V,1,HSK1 UNIT7,询问名字
15,今天,N,1,HSK1 UNIT7,询问名字
15,明天,N,1,HSK1 UNIT7,询问名字
15,几号,N,1,HSK1 UNIT7,询问名字
15,九月,N,1,HSK1 UNIT7,询问名字
15,星期,N,1,HSK1 UNIT7,询问名字
16,昨天,N,1,HSK1 UNIT7,询问名字
16,去哪儿,V,1,HSK1 UNIT7,询问名字
16,学校,N,1,HSK1 UNIT7,询问名字
16,看书,V,1,HSK1 UNIT7,询问名字
16,四五,NUM,1,HSK1 UNIT7,询问名字
16,读书,N,1,HSK1 UNIT7,询问名字
17,想吃,V,1,HSK1 UNIT8,喝茶
17,喝茶,V,1,HSK1 UNIT8,喝茶
17,米饭,N,1,HSK1 UNIT8,喝茶
18,下午,N,1,HSK1 UNIT8,喝茶
18,中午,N,1,HSK1 UNIT8,喝茶
18,商店,N,1,HSK1 UNIT8,喝茶
18,买什么,V,1,HSK1 UNIT8,喝茶
18,一个,QTY,1,HSK1 UNIT8,喝茶
18,杯子,N,1,HSK1 UNIT8,喝茶
18,桌子,N,1,HSK1 UNIT8,喝茶
19,这个,PRON,1,HSK1 UNIT8,喝茶
19,多少,PRON,1,HSK1 UNIT8,喝茶
19,多少钱,N,1,HSK1 UNIT8,喝茶
19,几块钱,QTY,1,HSK1 UNIT8,喝茶
19,那个,PRON,1,HSK1 UNIT8,喝茶
20,小猫,N,1,HSK1 UNIT9,方位
20,在那儿,V,1,HSK1 UNIT9,方位
20,小狗,N,1,HSK1 UNIT9,方位
20,椅子,N,1,HSK1 UNIT9,方位
20,下面,PREP,1,HSK1 UNIT9,方位
20,上面,N,1,HSK1 UNIT9,方位
21,在哪儿,PRON,1,HSK1 UNIT10,方位
21,工作,N,1,HSK1 UNIT9,方位
21,医院,N,1,HSK1 UNIT9,方位
22,桌子上,N,1,HSK1 UNIT10,礼貌用语
22,电脑,N,1,HSK1 UNIT10,礼貌用语
22,电脑和书,CONJ,1,HSK1 UNIT10,礼貌用语
22,一本,QTY,1,HSK1 UNIT10,礼貌用语
22,桌子里,N,1,HSK1 UNIT10,礼貌用语
22,桌子,N,1,HSK1 UNIT10,礼貌用语
22,爸爸,N,1,HSK1 UNIT9,方位
23,前面,N,1,HSK1 UNIT10,礼貌用语
23,这儿,ADV,1,HSK1 UNIT10,礼貌用语
23,不能,PHR,1,HSK1 UNIT10,礼貌用语
23,请坐,V,1,HSK1 UNIT10,礼貌用语
23,上下,PREP,1,HSK1 UNIT10,礼貌用语
23,后面,PREP,1,HSK1 UNIT10,礼貌用语
23,没有,ADV,1,HSK1 UNIT10,礼貌用语
24,现在,N,1,HSK1 UNIT11,询问几点
24,五点,QTY,1,HSK1 UNIT11,询问几点
24,十分,QTY,1,HSK1 UNIT11,询问几点
25,时候,N,1,HSK1 UNIT11,询问几点
25,回家,V,1,HSK1 UNIT11,询问几点
25,电影,N,1,HSK1 UNIT11,询问几点
25,住几天,V,1,HSK1 UNIT11,询问几点
25,周五前,N,1,HSK1 UNIT11,询问几点
25,吃饭,N,1,HSK1 UNIT11,询问几点
25,北京,PN,2,HSK1 UNIT12,询问几点
26,天气,N,1,HSK1 UNIT12,询问天气
26,怎么样,PRON,1,HSK1 UNIT12,询问天气
26,太,ADV,1,HSK1 UNIT12,询问天气
26,太热,ADJ,1,HSK1 UNIT12,询问天气
26,不冷,ADJ,1,HSK1 UNIT12,询问天气
26,下,V,1,HSK1 UNIT12,询问天气
26,下雨,N,1,HSK1 UNIT12,询问天气
27,小姐,N,1,HSK1 UNIT12,询问天气
27,会来,V,1,HSK1 UNIT12,询问天气
27,爱吃,V,1,HSK1 UNIT12,询问天气
27,一些,QTY,1,HSK1 UNIT12,询问天气
27,水果,N,1,HSK1 UNIT12,询问天气
27,身体,N,1,HSK1 UNIT12,询问天气
28,喂,INT,1,HSK1 UNIT13,做什么
28,也在,ADV,1,HSK1 UNIT13,做什么
28,学习,V,1,HSK1 UNIT13,做什么
28,上午,N,1,HSK1 UNIT13,做什么
29,睡觉,V,1,HSK1 UNIT13,做什么
29,电视,N,1,HSK1 UNIT13,做什么
29,喜欢,V,1,HSK1 UNIT13,做什么
29,给她,PRON,1,HSK1 UNIT13,做什么
30,打电话,V,1,HSK1 UNIT13,做什么
30,电话,N,1,HSK1 UNIT13,做什么
30,日月,N,1,HSK1 UNIT13,做什么
30,耳目,N,1,HSK1 UNIT13,做什么
30,打吧,AUX,1,HSK1 UNIT13,做什么
31,一点儿,NUM,1,HSK1 UNIT14,日常对话
31,东西,N,1,HSK1 UNIT14,日常对话
31,苹果,N,1,HSK1 UNIT14,日常对话
32,看见,V,1,HSK1 UNIT14,日常对话
32,先生,N,1,HSK1 UNIT14,日常对话
32,开车,N,1,HSK1 UNIT14,日常对话
32,回来,V,1,HSK1 UNIT14,日常对话
33,分钟,N,1,HSK1 UNIT14,日常对话
33,张先生,PN,1,HSK1 UNIT14,日常对话
33,衣服,N,1,HSK1 UNIT14,日常对话
33,后面,N,1,HSK1 UNIT14,日常对话
33,漂亮,ADJ,1,HSK1 UNIT14,日常对话
34,是啊,AUX,1,HSK1 UNIT14,日常对话
34,不少,ADJ,1,HSK1 UNIT14,日常对话
34,这些,PRON,1,HSK1 UNIT14,日常对话
34,都是,ADV,1,HSK1 UNIT14,日常对话
35,认识,V,1,HSK1 UNIT15,交通工具
35,大学,ADJ,1,HSK1 UNIT15,交通工具
35,饭店,N,1,HSK1 UNIT15,交通工具
35,今年,N,1,HSK1 UNIT15,交通工具
36,出租车,N,1,HSK1 UNIT15,交通工具
36,高兴,ADJ,1,HSK1 UNIT15,交通工具
36,听说,V,1,HSK1 UNIT15,交通工具
36,飞机,N,1,HSK1 UNIT15,交通工具
37,旅游,V,2,HSK2 UNIT1,旅游
37,觉得,V,2,HSK2 UNIT1,旅游
37,为什么,N,2,HSK2 UNIT1,旅游
37,不冷也不热,ADV,2,HSK2 UNIT1,旅游
37,最好,ADV,2,HSK2 UNIT1,旅游
38,运动,V,2,HSK2 UNIT1,旅游
38,踢,V,2,HSK2 UNIT1,旅游
38,足球,N,2,HSK2 UNIT1,旅游
38,踢足球,PHR,2,HSK2 UNIT1,旅游
39,不要,AUX,2,HSK2 UNIT1,旅游
39,新的,ADJ,2,HSK2 UNIT1,旅游
39,它叫,PRON,2,HSK2 UNIT1,旅游
39,花花,PN,2,HSK2 UNIT1,旅游
39,干活,ADJ,2,HSK2 UNIT1,旅游
39,眼睛,N,2,HSK2 UNIT1,旅游
40,生病,V,2,HSK2 UNIT2,起床时间
40,每天,PRON,2,HSK2 UNIT2,起床时间
40,早上,N,2,HSK2 UNIT2,起床时间
40,跑步,V,2,HSK2 UNIT2,起床时间
40,起床,N,2,HSK2 UNIT2,起床时间
41,吃药,N,2,HSK2 UNIT2,起床时间
41,出,V,2,HSK2 UNIT2,起床时间
41,出门,N,2,HSK2 UNIT2,起床时间
41,出院,N,2,HSK2 UNIT2,起床时间
41,多高,ADJ,2,HSK2 UNIT2,起床时间
41,知道,V,2,HSK2 UNIT2,起床时间
41,身体,N,2,HSK2 UNIT2,起床时间
41,一米,QTY,2,HSK2 UNIT2,起床时间
42,休息,V,2,HSK2 UNIT2,起床时间
42,很忙,ADJ,2,HSK2 UNIT2,起床时间
42,时间,N,2,HSK2 UNIT2,起床时间
43,手表,N,2,HSK2 UNIT3,日常用语
43,三千,NUM,2,HSK2 UNIT3,日常用语
43,报纸,N,2,HSK2 UNIT3,日常用语
43,送报纸,V,2,HSK2 UNIT3,日常用语
43,一下,PREP,2,HSK2 UNIT3,日常用语
43,牛奶,N,2,HSK2 UNIT3,日常用语
44,房间,N,2,HSK2 UNIT3,日常用语
44,丈夫,N,2,HSK2 UNIT3,日常用语
44,旁边,N,2,HSK2 UNIT3,日常用语
44,真漂亮,ADV,2,HSK2 UNIT3,日常用语
45,粉色,ADJ,2,HSK2 UNIT3,日常用语
45,颜色,N,2,HSK2 UNIT3,日常用语
45,左边,N,2,HSK2 UNIT3,日常用语
