级别,词语,词性,HSK词语级别
1,你们,代词,1
1,你,代词,1
1,们,助词,1
1,你好,短语,1
1,好,形容词,1
1,您好,短语,1
1,您,代词,1
1,对不起,短语,1
1,不,副词,1
1,没关系,短语,1
1,没,动词,1
2,一,数字,1
2,二,数字,1
2,三,数字,1
2,四,数字,1
2,五,数字,1
2,六,数字,1
2,七,数字,1
2,八,数字,1
2,九,数字,1
2,十,数字,1
3,谢谢,短语,1
3,不客气,短语,1
3,再见,短语,1
3,再,副词,1
4,山,名词,1
4,小,形容词,1
4,口,名词,1
4,叫,动词,1
5,什么,代词,1
5,名字,名词,1
5,字,名词,1
6,我,代词,1
6,是,动词,1
6,老师,名词,1
6,老,形容词,1
6,吗,助词,1
6,学生,名词,1
6,学,动词,1
6,人,名词,1
7,中国,名词,1
7,美,形容词,1
7,心情,名词,1
7,心,名词,1
7,情,名词,1
8,她,代词,1
8,谁,代词,1
8,的,助词,1
8,汉语,名词,1
9,哪,代词,1
9,国,名词,1
9,呢,助词,1
9,他们,代词,1
9,他,代词,1
9,同学,名词,1
9,同,介词,1
10,朋友,名词,1
10,几,代词,1
10,儿子,名词,1
11,家人,名词,1
11,女儿,名词,1
11,几个,代词,1
11,个,量词,1
11,几岁,短语,1
11,好了,助词,1
11,了,助词,1
11,口,量词,1
11,没有,动词,1
11,没,副词,1
12,多大,副词,1
12,多,形容词,1
12,大,形容词,1
12,山水,名词,1
12,水,名词,1
12,女人,名词,1
12,大家,形容词,1
12,好了,名词,1
12,今年,名词,1
12,今,名词,1
12,年,名词,1
12,年,量词,1
12,明年,名词,1
13,不会,短语,1
13,会说,动词,1
13,妈妈,名词,1
13,做菜,名词,1
13,做,动词,1
13,很好,副词,1
13,很,副词,1
13,做饭,动词,1
13,吃饭,动词,1
13,吃,动词,1
14,写字,动词,1
14,写,动词,1
14,汉字,名词,1
14,怎么,代词,1
14,东西,名词,1
14,东,名词,1
14,西,名词,1
14,读书,动词,1
14,读,动词,1
14,书,名词,1
15,请问,动词,1
15,问,动词,1
15,今天,名词,1
15,天,名词,1
15,天,量词,1
15,明天,名词,1
15,几号,名词,1
15,九月,名词,1
15,月,名词,1
15,星期,名词,1
15,星,名词,1
15,期,量词,1
16,昨天,名词,1
16,去哪儿,动词,1
16,去,动词,1
16,学校,名词,1
16,看书,动词,1
16,看,动词,1
16,四五,数字,1
16,读书,名词,1
17,想吃,动词,1
17,想,动词,1
17,喝茶,动词,1
17,喝,动词,1
17,茶,名词,1
17,米饭,名词,1
17,米,名词,1
18,下午,名词,1
18,下,方位词,1
18,午,名词,1
18,中午,名词,1
18,中,名词,1
18,商店,名词,1
18,买什么,动词,1
18,买,动词,1
18,一个,量词,1
18,杯子,名词,1
18,杯,名词,1
18,杯,量词,1
18,桌子,名词,1
19,这个,代词,1
19,这,代词,1
19,多少,代词,1
19,少,形容词,1
19,多少钱,名词,1
19,几块钱,量词,1
19,块,量词,1
19,那个,代词,1
19,那,代词,1
20,小猫,名词,1
20,猫,名词,1
20,在那儿,动词,1
20,在,介词,1
20,小狗,名词,1
20,狗,名词,1
20,椅子,名词,1
20,下面,介词,1
20,面,名词,1
20,上面,名词,1
20,上,方位词,1
21,在哪儿,代词,1
21,工作,名词,1
21,医院,名词,1
22,桌子上,名词,1
22,电脑,名词,1
22,电,名词,1
22,脑,名词,1
22,电脑和书,连词,1
22,和,连词,1
22,和,介词,1
22,一本,量词,1
22,本,量词,1
22,桌子里,名词,1
22,爸爸,名词,1
23,前面,名词,1
23,前,名词,1
23,面,名词,1
23,这儿,副词,1
23,不能,短语,1
23,请坐,动词,1
23,坐,动词,1
23,上下,方位词,1
23,后面,介词,1
23,后,名词,1
23,没有,副词,1
24,现在,名词,1
24,五点,量词,1
24,点,名词,1
24,十分,量词,1
24,分,量词,1
25,时候,名词,1
25,时,名词,1
25,回家,动词,1
25,回,动词,1
25,电影,名词,1
25,住几天,动词,1
25,周五前,名词,1
25,周,名词,1
25,吃饭,名词,1
25,北京,特殊名词,1
25,北,名词,1
26,天气,名词,1
26,气,名词,1
26,怎么样,代词,1
26,怎,代词,1
26,太,副词,1
26,太热,形容词,1
26,热,形容词,1
26,不冷,形容词,1
26,冷,形容词,1
26,下,动词,1
26,下雨,名词,1
26,雨,名词,1
27,小姐,名词,1
27,会来,动词,1
27,来,动词,1
27,爱吃,动词,1
27,爱,动词,1
27,一些,量词,1
27,水果,名词,1
27,果,名词,1
27,身体,名词,1
28,喂,叹词,1
28,也在,副词,1
28,也,副词,1
28,学习,动词,1
28,上午,名词,1
29,睡觉,动词,1
29,睡,动词,1
29,电视,名词,1
29,喜欢,动词,1
29,给她,代词,1
30,打电话,动词,1
30,打,动词,1
30,电话,名词,1
30,日月,名词,1
30,日,名词,1
30,耳目,名词,1
30,耳,名词,1
30,打吧,助词,1
30,吧,助词,1
31,一点儿,数字,1
31,苹果,名词,1
32,看见,动词,1
32,先生,名词,1
32,开车,名词,1
32,开,动词,1
32,车,名词,1
32,回来,动词,1
33,分钟,名词,1
33,分,名词,1
33,钟,名词,1
33,张先生,特殊名词,1
33,衣服,名词,1
33,衣,名词,1
33,后面,名词,1
33,漂亮,形容词,1
33,亮,形容词,1
34,是啊,助词,1
34,啊,助词,1
34,啊,叹词,1
34,不少,形容词,1
34,这些,代词,1
34,都是,副词,1
34,都,副词,1
35,认识,动词,1
35,大学,形容词,1
35,饭店,名词,1
36,出租车,名词,1
36,出,动词,1
36,高兴,形容词,1
36,高,形容词,1
36,听说,动词,1
36,听,动词,1
36,飞机,名词,1
36,飞,动词,1
37,旅游,动词,2
37,游,动词,2
37,觉得,动词,2
37,得,助词,2
37,为什么,名词,2
37,为,介词,2
37,不冷也不热,副词,2
37,最好,副词,2
37,最,副词,2
38,运动,动词,2
38,踢,动词,2
38,足球,名词,2
38,踢足球,短语,2
39,不要,助词,2
39,新的,形容词,2
39,新,形容词,2
39,它叫,代词,2
39,它,代词,2
39,花花,特殊名词,2
39,花,名词,2
39,干活,形容词,2
39,眼睛,名词,2
39,眼,名词,2
40,生病,动词,2
40,生,动词,2
40,病,名词,2
40,每天,代词,2
40,每,代词,2
40,早上,名词,2
40,早,名词,2
40,早,形容词,2
40,跑步,动词,2
40,跑,动词,2
40,起床,名词,2
41,吃药,名词,2
41,出门,名词,2
41,门,名词,2
41,出院,名词,2
41,多高,形容词,2
41,知道,动词,2
41,一米,量词,2
42,休息,动词,2
42,很忙,形容词,2
42,时间,名词,2
43,手表,名词,2
43,手,名词,2
43,表,名词,2
43,三千,数字,2
43,报纸,名词,2
43,纸,名词,2
43,送报纸,动词,2
43,送,动词,2
43,一下,介词,2
43,下,量词,2
43,牛奶,名词,2
43,牛,名词,2
44,房间,名词,2
44,房,名词,2
44,丈夫,名词,2
44,旁边,名词,2
44,旁,名词,2
44,边,名词,2
44,真漂亮,副词,2
44,真,形容词,2
44,真,副词,2
